PROTOCOL,NUM_EXPERTS,NUM_ROUNDS,GAS_EXPERT,GAS_MANAGER,HARD_ACC,HARD_REPT,SOFT_ACC,SOFT_REPT
SNOWBALL,9,5,88.956,1258580.2,93.446,93.285,93.984,94.005
SLUSH,15,5,86.453,1991079.4,91.979,91.896,92.8,92.683
SNOWBALL,13,11,87.523,1837209.7,92.567,92.554,93.191,93.083
SNOWBALL,15,14,87.187,2098154.9,91.951,91.956,92.722,92.699
SNOWBALL,13,5,87.138,1738513.4,92.536,92.449,93.031,92.98
SLUSH,13,5,87.454,1749236.1,92.609,92.519,93.114,93.088
SNOWBALL,15,8,87.113,2046715.1,92.116,92.154,92.814,92.603
SNOWFLAKE,13,5,87.738,1739464.6,92.547,92.434,93.1,93.085
SLUSH,11,14,87.973,1662256.4,92.751,92.733,93.299,93.324
SLUSH,15,11,86.66,2123602,92.03,91.992,92.79,92.771
SNOWBALL,5,5,90.28,779989.3,94.219,93.904,94.874,94.63
SNOWFLAKE,5,5,90.2,769864.1,94.044,93.752,94.845,94.749
SNOWBALL,11,14,87.8,1637093.4,92.786,92.754,93.282,93.28
SNOWBALL,7,5,89.214,1017806.3,93.716,93.514,94.07,93.966
SLUSH,7,11,89.043,1086723.5,93.636,93.599,94.14,94.104
SLUSH,9,14,89.044,1378469.4,93.405,93.334,94.064,94.047
SNOWBALL,7,14,89,1084694.5,93.663,93.597,94.08,94.08
SNOWBALL,9,14,88.567,1371867.6,93.41,93.382,93.886,93.905
SNOWBALL,9,8,89.167,1299331.4,93.357,93.299,93.934,93.817
SNOWFLAKE,15,8,87.207,2019598.2,92.04,91.955,92.806,92.708
SNOWFLAKE,13,14,86.977,1857587,92.575,92.548,93.097,93.016
SNOWFLAKE,13,8,88.023,1776644,92.613,92.554,93.146,93.089
SNOWFLAKE,9,14,88.978,1365938,93.359,93.34,94.015,94.016
SNOWBALL,7,11,88.957,1073114.8,93.674,93.564,94.1,93.945
SNOWBALL,11,8,87.936,1528423.2,92.759,92.776,93.266,93.212
SNOWFLAKE,11,5,87.909,1489616.2,92.733,92.75,93.271,93.199
SNOWFLAKE,13,11,88.208,1837461.4,92.636,92.629,93.115,93.055
SNOWFLAKE,9,8,88.767,1294447.5,93.304,93.294,93.861,93.786
SLUSH,13,8,87.392,1810348.8,92.576,92.561,93.166,93.159
SLUSH,9,5,89.267,1255684.3,93.399,93.276,93.97,93.877
SLUSH,5,8,90.24,794449.9,94.056,93.841,94.78,94.71
SNOWFLAKE,5,14,90.06,826859.9,94.07,94.036,94.73,94.849
SNOWBALL,11,11,87.518,1593253.9,92.704,92.698,93.215,93.117
SNOWBALL,5,11,90.42,817296.9,94.139,93.995,94.791,94.692
SNOWFLAKE,15,5,86.727,1975511.9,92.065,92.009,92.766,92.729
SNOWFLAKE,9,5,88.922,1256844.2,93.471,93.4,93.944,93.856
SNOWFLAKE,11,14,87.991,1621976.5,92.699,92.662,93.229,93.264
SNOWFLAKE,7,8,89.143,1047898.8,93.698,93.564,94.062,93.931
SLUSH,11,8,87.836,1551074.9,92.672,92.624,93.237,93.23
SNOWFLAKE,15,11,86.887,2057017.8,92.061,92.098,92.856,92.808
SNOWFLAKE,5,8,89.98,797578,94.093,93.929,94.824,94.589
SNOWBALL,7,8,88.7,1047706.1,93.599,93.461,94.066,94.006
SNOWBALL,5,8,90.24,796471.6,94.128,94.004,94.832,94.854
SLUSH,11,5,88.255,1502228.2,92.679,92.48,93.232,93.175
SNOWFLAKE,7,11,89.086,1071251.4,93.605,93.53,94.123,93.959
SNOWBALL,9,11,89.178,1349193.6,93.359,93.321,93.964,93.903
SNOWBALL,15,5,86.76,1986537.2,92.101,92.005,92.734,92.669
SLUSH,9,8,88.967,1300721.3,93.401,93.331,93.881,93.799
SLUSH,15,8,86.74,2056891.7,92.068,92.014,92.804,92.534
SNOWBALL,13,8,87.738,1801444.4,92.674,92.615,93.146,93.062
SNOWFLAKE,7,5,88.971,1015819.5,93.635,93.524,94.034,94.069
SNOWFLAKE,7,14,89.329,1083552.4,93.643,93.592,94.135,94.056
SLUSH,5,5,90.5,773071.9,94.097,93.906,94.752,94.615
SNOWFLAKE,11,11,87.664,1579277.7,92.674,92.634,93.246,93.244
SLUSH,9,11,89.144,1339553.5,93.3,93.263,93.864,93.83
SNOWBALL,11,5,87.845,1493077.9,92.758,92.655,93.29,93.241
SNOWFLAKE,9,11,88.767,1331362.5,93.355,93.353,93.951,93.881
SNOWFLAKE,11,8,87.836,1522723.6,92.67,92.695,93.255,93.26
SNOWBALL,15,11,87.167,2051513.1,92.035,92.067,92.796,92.609
SLUSH,5,14,89.92,841245,94.061,93.905,94.786,94.709
SNOWFLAKE,15,14,86.64,2112645.6,91.987,92.014,92.735,92.694
SNOWBALL,5,14,90.42,834745.6,94.101,94.096,94.731,94.535
SLUSH,11,11,87.909,1599492.2,92.715,92.7,93.278,93.195
SNOWBALL,13,14,87.962,1891364.6,92.664,92.615,93.152,93.091
SLUSH,15,14,87.447,2192130.1,92.047,92.106,92.823,92.81
SLUSH,7,5,89.171,1017900.9,93.56,93.425,94.051,93.966
SNOWFLAKE,5,11,90.32,805908.9,94.175,94.029,94.789,94.716
SLUSH,13,11,87.762,1852012.5,92.535,92.435,93.06,92.985
SLUSH,7,8,89.214,1052089.5,93.675,93.51,94.098,94.06
SLUSH,7,14,89.257,1094298.5,93.644,93.53,94.053,93.909
SLUSH,13,14,87.585,1938911.2,92.58,92.55,93.096,93.055
SLUSH,5,11,90.26,803111.8,94.132,93.931,94.729,94.854
